title,add1,city,add2,email,pobox,phone1,contact,fax,description,isPaid,webpage,lat,lng,subCatId
"Nepal Airlines Corporation",Biratnagar,Biratnagar,Nepal,,,"525576, 525336",,,,N,,26.5031454,87.298817,111
"Nepal Airlines Corporation",Janakpur,Janakpur,Nepal,,,"520088, 520185",,,,N,,26.7271466,85.9406745,111
"Nepal Airlines Corporation",Pokhara,Pokhara,Nepal,,,520040,,,,N,,28.2,83.981667,111
"Nepal Airlines Corporation",Nepalgunj,Nepalgunj,Nepal,,,"520737, 520102, 520572",,,,N,,28.102989,81.666943,111
"Nepal Airlines Corporation","Engineering Dept.",Kathmandu,Nepal,ed@nac.com.np,,4470670,,4470768,,N,www.nepalairlines.com,27.6828124,85.3196799,111
"Northwest Airlines","Lekhnath Marg",Kathmandu,Nepal,nw-klm@mallatreks.com.np,"5227, Ktm","4410089, 4418387",,4423143,,N,,27.7317467,85.3031208,111
"Orient Thai Airlines Co. Ltd.","Durbar Marg",Kathmandu,Nepal,,,4233627-28,,4233629,,N,www.orient-thai.com,27.7064565,85.3164261,111
"Pakistan International Airlines",Hattisar,Kathmandu,Nepal,ktmuupk@piac.aero,,"4439624, 4439564",,4439564,,N,www.piac.com.pk,27.7121469,85.3246066,111
"Phuket Air",Kupondole,Kathmandu,Nepal,ecktm@gttsas.wlink.com.np,"2727, Ktm","5524732, 5524232",,5521880,,N,,27.6862181,85.3149142,111
"Qatar Airways","Airport Office",Kathmandu,Nepal,,,2064243,,4468805,,N,,27.6893161,85.3527049,111
"Royal Brunei Airlines",Hattisar,Kathmandu,Nepal,atcr@ccsl.com.np,"5519, Ktm","4437193, 4438367",,4439668,,N,,27.7121469,85.3246066,111
"Shangri-la Air Pvt. Ltd.",Pokhara,Pokhara,Nepal,,,"521398, 521723, 531223",,460391,,N,,28.2,83.981667,111
"Shangri-la Air Pvt. Ltd.",Bhairahawa,Bhairahawa,Nepal,,,522028,,523961,,N,,27.536327,83.4026266,111
"Shangri-la Air Pvt. Ltd.",Lazimpat,Kathmandu,Nepal,shangrila@info.com.np,"20198, Ktm","4427901, 4427908, 4415145",,4436532,,N,www.shangrilaair.com,27.7215031,85.3200837,111
"Singapore Airlines",Sales,Kathmandu,Nepal,,,4220759,,,,N,,27.7218853,85.3226077,111
"Singapore Airlines",Ticketing,Kathmandu,Nepal,,,4225482,,,,N,,NULL,NULL,111
"Singapore Airlines",Kamaladi,Kathmandu,Nepal,info@everest-express.com.np,"482, Ktm",4220759,,4226795,,N,www.singaporeair.com.np,27.709047,85.3194375,111
"Sita Air (P) Ltd.","Dholahity Sales",Kathmandu,Nepal,,,"5570191, 5529466",,,,N,,NULL,NULL,111
"Sita Air (P) Ltd.","Hattisar Sales",Kathmandu,Nepal,,,"2004144, 4445012",,,,N,,27.7218853,85.3226077,111
"Sita Air (P) Ltd.",Reservation,Kathmandu,Nepal,,,"4110503, 4110644, 4110529",,,,N,,NULL,NULL,111
"Skyline Airways",Lukla,Solukhumbu,Nepal,,,"038-640008, 640145",,,,N,,27.6856603,86.7278059,111
"Sri Lankan Airlines","Durbar Marg",Kathmandu,Nepal,ztt@wlink.com.np,"4163, Ktm","4223502, 4227064, 4258695",,4227132,,N,,27.7064565,85.3164261,111
"Swiss International Airlines Ltd.",Hattisar,Kathmandu,Nepal,swiss@mos.com.np,"170, Ktm","4434607, 4434872",,4434570,,N,www.swiss.com,27.7121469,85.3246066,111
"Thai Airways International Public Co. Ltd.",Airport,Kathmandu,Nepal,,,"4473440, 4472293",,4470287,,N,,27.6980899,85.3592231,111
"Uzbekistan Airways (Gandaki Tours & Travels)",Kamaladi,Kathmandu,Nepal,gandaki@gandaki.wlink.com.np,"4870, Ktm","4246404, 4222086",,4221112,,N,www.gandakitravels.com,27.709047,85.3194375,111
"Yeti Airlines",Bajura,Bajura,Nepal,,,097-540013,,,,N,,29.355909,81.309723,111
"Yeti Airlines",Jomsom,Mustang,Nepal,,,"069-429421, 429405",,,,N,,28.7746477,83.7730237,111
"Yeti Airlines",Jumla,Jumla,Nepal,,,087-529615,,,,N,,29.25,82.25,111
"Yeti Airlines",Lamidanda,Khotang,Nepal,,,036-429204,,,,N,,27.2457274,86.6661453,111
"Yeti Airlines",Lukla,Solukhumbu,Nepal,,,038-621150,,,,N,,27.6856603,86.7278059,111
"Yeti Airlines",Phaplu,Solukhumbu,Nepal,,,038-620247,,,,N,,27.5204527,86.5870508,111
"Yeti Airlines",Simikot,Solukhumbu,Nepal,,,019-50011,,,,N,,NULL,NULL,111
"Yeti Airlines",Surkhet,Surkhet,Nepal,,,"083-520518, 520688",,,,N,,28.601789,81.600906,111
"Yeti Airlines",Tumlingtar,Bhojpur,Nepal,,,"029-469201, 460203",,,,N,,27.3131591,87.1996084,111
"Yeti Airlines",Tilganga,Kathmandu,Nepal,reservations@yetiairlines.com,,"4465888, 4464878",,4465115,,N,www.yetiairlines.com,27.7038818,85.3507675,111
"Yeti Airlines",Biratnagar,Biratnagar,Nepal,,,536612,,525221,,N,,26.5031454,87.298817,111
"Yeti Airlines",Simara,Birgunj,Nepal,,,"525389, 528992",,,,N,,NULL,NULL,111
"Yeti Airlines",Pokhara,Pokhara,Nepal,,,"530016, 528992",,,,N,,28.2,83.981667,111
"Yeti Airlines",Nepalgunj,Nepalgunj,Nepal,,,526556,,,,N,,28.102989,81.666943,111
"Air Transport Support Centre",Sinamangal,Kathmandu,Nepal,,,4472998,,4472998,,N,,27.6991378,85.3510904,112
"Airport Branch Offices",Dang,Dang,Nepal,,,082-520024,,,,N,,28.1113829,82.294308,112
"Airport Branch Offices",Dhangadi,Kailali,Nepal,,,091-521219,,,,N,,28.685244,80.621591,112
"Airport Branch Offices",Doti,Doti,Nepal,,,094-420111,,,,N,,29.266667,80.983333,112
"Airport Branch Offices",Jhapa,Jhapa,Nepal,,,023-520075,,,,N,,26.6252766,87.8920251,112
"Airport Branch Offices",Mahendranagar,Kanchanpur,Nepal,,,099-521956,,,,N,,28.9872803,80.1651854,112
"Airport Branch Offices",Simara,Bara,Nepal,,,053-520110,,,,N,,27.1902036,84.9921549,112
"Airport Branch Offices",Surkhet,Surkhet,Nepal,,,083-520202,,,,N,,28.601789,81.600906,112
"Airport Branch Offices",Biratnagar,Biratnagar,Nepal,,,524641,,,,N,,26.5031454,87.298817,112
"Airport Branch Offices",Bharatpur,Chitwan,Nepal,,,056-520254,,,,N,,27.6486636,84.4172666,112
"Airport Branch Offices",Pokhara,Pokhara,Nepal,,,520538,,,,N,,28.2,83.981667,112
"Airport Branch Offices",Bhairahawa,Bhairahawa,Nepal,,,520110,,,,N,,27.536327,83.4026266,112
"Airport Branch Offices",Nepalgunj,Nepalgunj,Nepal,,,081-520571,,,,N,,NULL,NULL,112
"Airport Branch Offices",Nepalgunj,Nepalgunj,Nepal,,,081-520605,,,,N,,28.102989,81.666943,112
"Branch Offices",Janakpur,Janakpur,Nepal,,,041-520044,,,,N,,26.7271466,85.9406745,112
"Nepal Airlines Corporation",Tower,Kathmandu,Nepal,,,4477160,,,,N,,27.7227894,85.3448327,112
"Nepal Airlines Corporation","Turminal Duty Office",Kathmandu,Nepal,,,4477163,,,,N,,NULL,NULL,112
"Nepal Airlines Corporation","Doms. Airport",Kathmandu,Nepal,,,4470668,,4225348,,N,,NULL,NULL,112
"Tribhuvan International Airport","Airport Security Guard Office",Kathmandu,Nepal,,,4495751,,,,N,,NULL,NULL,112
"Tribhuvan International Airport","Airport Terminal Duty Service",Kathmandu,Nepal,,,4477163,,,,N,,NULL,NULL,112
"Tribhuvan International Airport","Civil Maintenance",Kathmandu,Nepal,,,4475272,,,,N,,NULL,NULL,112
"Tribhuvan International Airport","Deputy Aerodrome Officer",Kathmandu,Nepal,,,4477163,,,,N,,NULL,NULL,112
"Tribhuvan International Airport",Domestic,Kathmandu,Nepal,,,4470668,,,,N,,27.702928,85.3577901,112
"Tribhuvan International Airport","Exchange Enquiry",Kathmandu,Nepal,,,4471933,,,,N,,NULL,NULL,112
"Tribhuvan International Airport","Fire Service",Kathmandu,Nepal,,,4470275,,,,N,,NULL,NULL,112
"Tribhuvan International Airport","Int'l Enquiry",Kathmandu,Nepal,,,"4470311, 4473779",,,,N,,NULL,NULL,112
"Tribhuvan International Airport","New Terminal Building-VIP Room",Kathmandu,Nepal,,,"4485973, 4477163",,,,N,,NULL,NULL,112
"Tribhuvan International Airport",Sinamangal,Kathmandu,Nepal,,,"4471933, 472834, 4472835",,,,N,,27.6991378,85.3510904,112
"Tribhuvan International Airport","VVIP Lounge",Kathmandu,Nepal,,,4473320,,,,N,,NULL,NULL,112
"Tribhuvan International Airport","General Manager",Kathmandu,Nepal,,,4477161,,4474180,,N,,NULL,NULL,112
"Tribhuvan International Airport","Press Room",Kathmandu,Nepal,,,4472298,,4474180,,N,,NULL,NULL,112
"Tribhuwan International Airport",Airport,Kathmandu,Nepal,,,"4471933, 4472256",,,,N,,27.6980899,85.3592231,112
"Absu Nepal Pvt. Ltd.","Kupondol, Jwagal-10",Lalitpur,Nepal,absu_nepal@yahoo.com,"20415 Ktm",9851053346,,,"It is our great pleasure to introduce itself the ABSU Nepal Pvt. Ltd. In the modern technology in the arena of high fabricated all kinds of aluminium door and windows. This is one of the leading aluminium company of Nepal, it is in the great leap with in the short period of its establishment and the company is in the summit of success. Well experienced staffs (Working for more than 15 years) are now working for our company. Based in Rabibhawan, Kathmandu ABSU Nepal Pvt. Ltd. The reliability and strength of our products. ",Y,www.absunepal.com,27.6950507,85.2948778,113
"Agrani Aluminium Pvt. Ltd.",Simra,Bara,Nepal,agrani@atcmail.com.np,,"053-520070, 520294",,520070,,N,,27.1902036,84.9921549,113
"Agrani Aluminium Pvt. Ltd.",Ganabahal,Kathmandu,Nepal,agrani@golchha.com.np,"353, Ktm","4231911, 4250001"," 98510 61163",4249723,,N,,27.7172453,85.3239605,113
"Aluminium Concern (Pvt.) Ltd.",Baneshwor,Kathmandu,Nepal,alcon@htp.com.np,"5033, Ktm",4494207,,4494207,,N,,27.6832658,85.3491973,113
"Binod Metal Industries","Hiti Durbar",Kathmandu,Nepal,pnco@wlink.com.np,"2342, Ktm",4435185,,4425142,,N,,27.7137668,85.3395793,113
"Dilip Aluminium","Main Road",Biratnagar,Nepal,,,523792,,,,N,,26.4833761,87.2841111,113
"Doors & Windowa",Kupondole,Lalitpur,Nepal,,"4361, Ktm","4246331, 5545029",9851057284,4225548,,N,,27.6862181,85.3149142,113
"Everest Aluminium Pvt. Ltd.",Jayabageshwori,Kathmandu,Nepal,info@nepalartsandcrafts.com,"20731, Ktm","4483734, 4488522",,4483734,,N,www.nepalartsandcrafts.com,27.7117715,85.3424352,113
"Ganesh Aluminium Structure Pvt. Ltd.",Naikap,Kathmandu,Nepal,ganeshaluminium@yahoo.com,,4310412,"9851048944, 9851166701",,,Y,,,,113
"Ganesh Metal Industries","Dharan Road",Biratnagar,Nepal,,,"525450, 523478",,,,N,,26.4640953,87.2777171,113
"Ganeshkamal Metal Industries (P) Ltd.",Kalimati,Kathmandu,Nepal,,"3040, Ktm","4271754, 4275593",,4287593,,N,,27.6999738,85.2890594,113
"Gurans Aluminium Industries",Dharan,Dharan,Nepal,,,520104,,,,N,,26.7916703,87.2907533,113
"Innovative Aluminium Pvt. Ltd.",Jhamsikhel,Kathmandu,Nepal,montu_dhiran@hotmail.com,,"5536591, 5552919",,,,N,,27.6828555,85.3019883,113
"Lumbini Aluminium Udyog",Narayansthan,Bhairahawa,Nepal,,,520404,,,,N,,NULL,NULL,113
"Mahabir Aluminium Udyog",Parsauni,Birgunj,Nepal,,,521128,,,,N,,27.0424394,84.8802444,113
"National Aluminium Fabricator","Teku Road",Kathmandu,Nepal,nas_np@hotmail.com,"4808, Ktm","4254791, 4247923",,4254791,,N,,27.7246854,85.3131916,113
"Nepal Home Appliances",Satdobato,Kathmandu,Nepal,nepahome@ccsl.com.np,"291, Ltp","5523437, 5541674",,5539333,,N,,27.6515356,85.327837,113
"New Sky",Minbhawan,Kathmandu,Nepal,newsky@ntc.net.np,,"4482743, 4497054",,4497054,,N,,27.6866951,85.338173,113
"NewGen Aluminium (P) Ltd.",Dallu,Kathmandu,Nepal,newgenal@hotmail.com,,"4288708, 9851081553",,,,N,,27.7120275,85.2994028,113
"Royal International Aluminium",Satdobato,Lalitpur,Nepal,amirthapa43@hotmail.com,,"5572352, 2220857",9851001749,,,N,,27.6515356,85.327837,113
"Shakya Aluminium Industries",Satungal,Kathmandu,Nepal,,,"4385679, 4270869",9851026655,,,Y,,27.6825156,85.2489603,113
"Shiv Metal Industries","Munal Path",Biratnagar,Nepal,,,525413,,,,N,,26.4683405,87.2790786,113
"The Dreamland","Kanchanbari ",Biratnagar,Nepal,www.kumod@gmail.com,,021-472061,"9852025561, 9802026561",,,Y,,26.4580552,87.2788527,113
"Vijay Metal Industries","Industrial Estate",Nepalgunj,Nepal,,,"081-520493, 520556",,081-520516,,N,,NULL,NULL,113
"Afnai Dana Udyog","Main Road",Hetauda,Nepal,,,057-521022,,,,N,,27.5388595,85.1093245,114
"Animal Feed Production Development Committee",Hetauda,Hetauda,Nepal,,,"057-520385, 520021",,,,N,,27.4257188,85.0300759,114
"Baral Feed Industries",Pardi,Pokhara,Nepal,,,"461024, 462545, 9856020190",,460828,,N,,28.1947589,83.9731033,114
"Bhagat Feed Industries & Panchakanya Hatchery",Pokhara,Pokhara,Nepal,,,440220,,,,N,,28.2,83.981667,114
"Bigyan Feed Industries",Pokhara,Pokhara,Nepal,,,521664,,,,N,,28.2,83.981667,114
"Biswa Dana Udyog",Hetauda,Hetauda,Nepal,,,520898,,,,N,,27.4257188,85.0300759,114
"Budhanilkantha Dana Udhyog",Hattigauda,Kathmandu,Nepal,,,4376248,,,,N,,27.7553479,85.3478614,114
"Cattle Feed Plant Industries",Hetauda,Hetauda,Nepal,,,520385,,,,N,,27.4257188,85.0300759,114
"Everest Feed Ltd.",Hetauda,Hetauda,Nepal,,,521382,,,,N,,27.4257188,85.0300759,114
"Kalika Dana Udhyog",Kamane,Hetauda,Nepal,,,520898,,,,N,,27.4000713,85.0415328,114
"Kirati Feed Suppliers","Kalika Nagar",Bhairahawa,Nepal,,,540642,,,,N,,27.6876061,83.4449342,114
"Narayani Feed Industries",Itahari,Dharan,Nepal,,,025-580024,,,,N,,26.669464,87.2734554,114
"Narayani Feed Industries","Main Road",Hetauda,Nepal,,,"520231, 520512",,521110,,N,,27.5388595,85.1093245,114
"Nepal Feed Products (P) Ltd.",Balaju,Kathmandu,Nepal,,,"4350769, 4356985",,,,N,,27.7309123,85.2955242,114
"Nepal Poultry (P) Ltd.",Balaju,Kathmandu,Nepal,,,4350084,,,,N,,27.7309123,85.2955242,114
"New Pashupati Feed Industries",Pokhara,Pokhara,Nepal,,,523075,,,,N,,28.2,83.981667,114
"Pashupati Feed Industries",Biratnagar,Biratnagar,Nepal,,"83, Biratnagar","524887, 531702, 530388",,,,N,,26.5031454,87.298817,114
"Pindeswor Feed Industries","Ind. Estate",Dharan,Nepal,,,520441,,,,N,,NULL,NULL,114
"R. K. Feed Products","Dumre (Branch Off.)",Tanahu,Nepal,,,065-580085,,,,N,,27.9530867,84.3946579,114
"Ranjit Enterprises","Rani Pauwa",Pokhara,Nepal,,,522309,,,,N,,28.2198677,83.9975715,114
"Ratna Feeds Industries (P) Ltd.","Dharan Road",Biratnagar,Nepal,,,021-525079,,,,N,,26.4640953,87.2777171,114
"Ratna Feeds Industries (P) Ltd.","Biratnagar Road",Dharan,Nepal,,,025-522079,,,,N,,26.4640953,87.2777171,114
"Ratna Feeds Industries (P) Ltd.","Pani Tanki",Birgunj,Nepal,,,522188,,,,N,,NULL,NULL,114
"Ratna Feeds Industries (P) Ltd.",Hetauda,Hetauda,Nepal,,,520512,,,,N,,27.4257188,85.0300759,114
"Sagar Feed Product",Itahari,Dharan,Nepal,,,582841,,,,N,,26.669464,87.2734554,114
"Sakar Feed Product",Sallaghari,Bhaktapur,Nepal,,"27, Bkt",6611287,,,,N,,27.6717628,85.4078902,114
"Sanu Feed Industries","Bhairab Tole",Pokhara,Nepal,,,061-520570,,,,N,,28.2350183,83.9859446,114
"Shiva Shakti Feed Industry","Rani Pouwa",Pokhara,Nepal,,,"061-520590, 528187",,,,N,,NULL,NULL,114
"Shrestha Veterinary Suppliers",Shreepur,Birgunj,Nepal,,,051-525222,,,,N,,27.0271987,84.8848032,114
"Siddhartha Feed Industries","Naya Sadak",Bhairahawa,Nepal,,,520979,,,,N,,NULL,NULL,114
"Sundar Feed and Hachery",Deep,Pokhara,Nepal,,,"440252, 520553",,,,N,,28.2499309,83.9856693,114
"Animal Care Centre","Janpath Tole",Biratnagar,Nepal,,,5526958,,,,N,,26.4539723,87.2730244,115
"Breeding Centre",Baluwatar,Kathmandu,Nepal,,,4443721,,,,N,,27.7254865,85.3297752,115
"Gauri Shankar Kennel Club","New Baneshwor",Kathmandu,Nepal,,,4496331,,,,N,,27.6915196,85.3420486,115
"Nepal Breeder",Hadigaun,Kathmandu,Nepal,,,"4489433, 9851047655",,,,N,,27.7150202,85.3353267,115
"Hacienda Apartment Hotel",Maharajgunj,Kathmandu,Nepal,hacienda@mail.com.np,"1635, Ktm",4410216,,4415305,,N,www.south-asia.com/hacienda,27.7364789,85.3304212,116
"Jhapa Banijya Sangh",Bhadrapur,Jhapa,Nepal,,,023-520058,,,,N,,26.5363305,88.0803051,121
"Johrei Society Nepal",Thamel,Kathmandu,Nepal,,,4266434,,,,N,,27.7153902,85.3123293,121
"Jorpati Microbus Association",Jorpati,Kathmandu,Nepal,,,4474691,,,,N,,27.7278388,85.3782068,121
"Jyoti Samari Service Association",Banasthali,Kathmandu,Nepal,,"21887, Ktm",4361505,,,,N,,27.7212949,85.2922919,121
"Jyotish Anusandhan Parishad",Dillibazar,Kathmandu,Nepal,,,"4423242, 4445542",,,,N,,NULL,NULL,121
"Kalimati Fruits and Vegetable Market Development Board",Kalimati,Kathmandu,Nepal,kalimati@kndv.wlink.com.np,,"4271086, 4288891",,,,N,,27.6999738,85.2890594,121
"Karate Do Association",Anamnagar,Kathmandu,Nepal,jknkarate1@hotmail.com,,"4256117, 4223976",,,,N,,27.6976913,85.3297752,121
"Karmachari Sanchaya Kosh",Biratnagar,Biratnagar,Nepal,,,021-525029,,021-525427,,N,,26.5031454,87.298817,121
"Karmachari Sanchaya Kosh",Nepalgunj,Nepalgunj,Nepal,,,520718,,521532,,N,,28.102989,81.666943,121
"Kathmandu Association of the Deaf (KAD)",Kathmandu,Kathmandu,Nepal,kad2037@ntc.net.np,"4601, Ktm",4423256,,4434714,,N,,27.7172453,85.3239605,121
"Kathmandu Jaycees",Khichapokhari,Kathmandu,Nepal,ktmjaycee@yahoo.com,"5605, Ktm","4249711, 4263790",,,,N,,27.7018038,85.3107136,121
"Kathmandu Lady Jaycees","New Road",Kathmandu,Nepal,,"3134, Ktm",4240200,,,,N,,27.7033426,85.3115765,121
"Kathmandu Mahanagarpalika Karmachari Sangh",Thamel,Kathmandu,Nepal,,,4241427,,,,N,,27.7153902,85.3123293,121
"Kathmandu Photographer Association",Gongabun,Kathmandu,Nepal,,,2290495,,,,N,,27.7493381,85.321376,121
"KB Brother's Penpal Club",Itahari,Dharan,Nepal,,,580419,,,,N,,26.669464,87.2734554,121
"Khaptap Ashram Prakashan Samittee",Babarmahal,Kathmandu,Nepal,,,"4280172, 2030074",,,,N,,27.6920682,85.324449,121
"Kirat Rai Yayokkha",Bansbari,Kathmandu,Nepal,kiraya@wlink.com.np,"19230, Ktm",4373723,,4373723,,N,,27.8009346,85.5560635,121
"Kirtipur Jaycees",Kirtipur,Kathmandu,Nepal,,"8975 EPC 5498",4330780,,,,N,,27.6630019,85.2774207,121
"Kirtipur Minibus Byawasai Sangh",Kuleshwor,Kathmandu,Nepal,,,4287030,,,,N,,27.6899521,85.2955242,121
"Lazimpat Club",Lazimpat,Kathmandu,Nepal,,"21284, Ktm",4435721,,,,N,,27.7215031,85.3200837,121
"Leather Footwear & Goods Manufacturers' Association of Nepal",Bagbazar,Kathmandu,Nepal,lfgman@ntc.net.np,"19732, Ktm",4219349,,4219349,,N,,27.7046582,85.3194375,121
"Leo Club of Kathmandu Alliance",Kathmandu,Kathmandu,Nepal,leodistrict@hotmail.com,"9286, Ktm",4278286,,4280293,,N,,27.7172453,85.3239605,121
"Leo Club of Sindhuli",Sindhuli,Sindhuli,Nepal,kphoto@wlink.com.np,,"047-520026, 520259",,520154,,N,,27.2748286,85.9571975,121
"Sipradi Trading (P) Ltd.",Thapathali,Kathmandu,Nepal,mktcvd@sipradi.com.np,,"4240607, 4230340, 4242549",,4225096,,N,,27.6894055,85.3226683,127
"South Asian Trading Co. (P) Ltd.",Thapathali,Kathmandu,Nepal,satconp@hotmail.com,"3016, Ktm","4245374, 4245444",,4225274,,N,,27.6894055,85.3226683,127
"Sri Nepal Marketing Concern",Shreepur,Birgunj,Nepal,,,"525376, 528132",,,,N,,27.0271987,84.8848032,127
"Sulux Incorporated Pvt. Ltd.",Basantapur,Kathmandu,Nepal,sulux@mail.com.np,,4240288,,4247756,,N,,27.7042221,85.3065127,127
"Swastik Nepal Pvt. Ltd.",Narayanghat,Chitwan,Nepal,,,"532567, 9855085208",,,,N,,27.6988907,84.4303959,127
"Swyambhu Auto Trade",Dharan,Dharan,Nepal,,,524411,,,,N,,26.7916703,87.2907533,127
"Syakar Company Ltd.",Kantipath,Kathmandu,Nepal,,"133, Ktm","4225490, 4253522",,4256933,,N,www.honda.com.np,27.7040286,85.3136015,127
"Tara Impex","Exhibition Road",Kathmandu,Nepal,,,4224596,,,,N,,NULL,NULL,127
"Tata Engineering & Locomotive Company Limited",Panipokhari,Kathmandu,Nepal,tataengg@mos.com.np,,4426820,,4428743,,N,,27.7363919,85.327837,127
"Tej & Karan Enterprises","Teku Road",Kathmandu,Nepal,info@tejandkaran.com,"2580, Ktm","4231999, 4248990, 4254792",,4230835,,N,www.tejandkaran.com,27.7246854,85.3131916,127
"United Motors",Narayanghat,Chitwan,Nepal,,,056-526562,,,,N,,27.6988907,84.4303959,127
"United Traders Syndicate Pvt. Ltd.",Dhumbarahi,Kathmandu,Nepal,vsd@voith.com.np,"2640, Ktm",4478301-5,,4497892,,N,www.toyota-southasia.com,27.6991378,85.3510904,127
"United Traders Syndicate Pvt. Ltd.","Munal Path",Biratnagar,Nepal,,,021-530846,,021-532963,,N,,26.4683405,87.2790786,127
"Uttam Motor",Swoyambhu,Kathmandu,Nepal,grgautam@wlink.com.np,,"4270436, 4273537, 4276045",,,,N,,27.7192103,85.2955242,127
"V. K. Trading Circle","Dhunga Adda",Kathmandu,Nepal,,,4272439,,4274486,,N,,NULL,NULL,127
"Vijay Motors Pvt. Ltd.",Naxal,Kathmandu,Nepal,bdm@vmpl.com.np,,4433205,9801059060,,,N,www.subaru.com.np,27.7159129,85.327837,127
"Vijaya Motors Pvt. Ltd.",Kantipath,Kathmandu,Nepal,,,"2022022, 016206621",,,,N,,27.7040286,85.3136015,127
"Vishwa Karma Newa",Putalisadak,Kathmandu,Nepal,vknewa@mail.com.np,"112, Ktm",4420513,,4434742,,N,,27.7029275,85.3223452,127
"A to Z Motorcycle Workshop",Jagati,Kathmandu,Nepal,,,6618544,,,,N,,27.6698218,85.4376199,128
"Adarsh Motor Service Station","Adarsha Nagar",Birgunj,Nepal,adarsh@atc.com.np,,"051-521470, 522127, 4410905 (Ktm)",,051-525375,,N,,27.0112009,84.86852,128
"Agni Incorporated Pvt. Ltd.",Balaju,Kathmandu,Nepal,agni@wlink.com.np,"3545, Ktm","4352076, 4352806",,4416718,,N,,27.7309123,85.2955242,128
"Ajima Auto Works",Sallaghari,Kathmandu,Nepal,,,"6615985, 9851077017",,,,N,,27.6717628,85.4078902,128
"Annapurna Engineering","Prithvi Chowk",Pokhara,Nepal,,,521786,,,,N,,28.1926705,84.018973,128
"A-One Auto Workshop",Dhobikhola,Kathmandu,Nepal,,,4466301,,,,N,,27.6931894,85.3280474,128
"Apex Motor Service (P) Ltd.",Chabahil,Kathmandu,Nepal,,"8813, Ktm",4371104,,,,N,,27.7166069,85.3485072,128
"Ashish Automobile Workshop & Auto Training Institute",Nayabazar,Kathmandu,Nepal,,,4360431,,,,N,,27.7191814,85.3096178,128
"Ashok Diesels","Janapath Tole",Biratnagar,Nepal,,,530056,,,,N,,26.4539723,87.2730244,128
"Auto Care",Sanepa,Kathmandu,Nepal,,,5527405,,,,N,,27.6844496,85.3058664,128
"Auto Care Centre",Bahuari,Birgunj,Nepal,,,522330,,,,N,,27.0324681,84.9027254,128
"Auto Clinic",Boudha,Kathmandu,Nepal,,"12823, Ktm",4478148,,4472137,,N,,27.7218976,85.3732227,128
"Auto Yantrasala (P) Ltd.",Jawalakhel,Kathmandu,Nepal,,,"5552388, 9851061062",,,,N,,27.6744259,85.3123293,128
"AVCO International (P) Ltd.",Maitidevi,Kathmandu,Nepal,,,4413086,,4438741,,N,,27.7051799,85.3349433,128
"AVCO International (P) Ltd.",Tinkune,Kathmandu,Nepal,,,"4111951, 4111662, 4111725",,,,N,,27.6911228,85.2956562,128
"Baggi Auto Workshop",Bagdol,Kathmandu,Nepal,,,"5531844, 2122188",,,,N,,27.6665524,85.3014241,128
"Baidya Auto Works",Dhobighat,Kathmandu,Nepal,,"8975 EPC 701",5524427,,,,N,,27.677003,85.3019883,128
"Bajrabarahi Auto Workshop",Tinkune,Kathmandu,Nepal,,,4271661,,,,N,,27.6911228,85.2956562,128
"Balkumari Auto Workshop",Balkumari,Lalitpur,Nepal,,,5549657,,,,N,,27.6695288,85.3407568,128
"Basundhara Auto Workshop",Basundhara,Kathmandu,Nepal,,,9849697447,,,,Y,,NULL,NULL,128
"Bhagawati Motor Works","Nag Dhunga",Pokhara,Nepal,,,520209,,,,N,,28.2077509,83.9869919,128
"Bhairab Motor Workshop",Gongabu,Kathmandu,Nepal,,,4357158,,,,N,,27.7493381,85.321376,128
"Bhastipur Auto Workshop",Balambu,Kathmandu,Nepal,,,4310869,,,,N,,27.6942193,85.2489603,128
"Bhotebahal Motor Repairing Center",Bhotebahal,Kathmandu,Nepal,,,4226933,,,,N,,27.6970726,85.3107179,128
"Bijaya Engineering (P) Ltd.","Naya Bazar",Pokhara,Nepal,,,526095,,,,N,,28.1051972,83.9330874,128
"Bishnu Auto Care Pvt. Ltd.","Dilli Bazar",Kathmandu,Nepal,bina@col.com.np,,"4441041, 4441042",,,,N,,NULL,NULL,128
"Bishnu Auto Works",Dillibazar,Kathmandu,Nepal,,,4433675,,,,N,,NULL,NULL,128
"Bishwokarma Auto Workshop","Jagati Chowk",Kathmandu,Nepal,,,6614412,,,,N,,NULL,NULL,128
"BMC-AES (P.) Ltd.","Main Road",Biratnagar,Nepal,siltenv@ccsl.com.np,,526012,,522822,,N,,26.4833761,87.2841111,128
"Bosch Injector Pump",Maharajgunj,Kathmandu,Nepal,boschktm.pvt@gmail.com,"3130, Ktm",4720266,,,"All Kinds of diesel pump, crdi, efi & turbo testing & repairing.",Y,,27.7364789,85.3304212,128
"Bouddha Auto Care & Garage","Boudha Bazar",Kathmandu,Nepal,,,4484960,,,,N,,27.7057873,85.3191819,128
"Buddha Auto Workshop",Balaju,Kathmandu,Nepal,,,"4350828, 9851027788",,,,N,,27.7309123,85.2955242,128
"Buddha Automobile & Engineering Workshop",Sitapaila,Kathmandu,Nepal,,,4282956,,,,N,,27.7170009,85.2735406,128
"Chandra Surya Motor Workshop",Satdobato,Kathmandu,Nepal,,,5522244,,,,N,,27.6515356,85.327837,128
"Chhodra Motor Garage","Dharan Road",Biratnagar,Nepal,,,021-522657,,,,N,,26.4640953,87.2777171,128
